image,track_id,bb_topleft_x,bb_topleft_y,bb_botright_x,bb_botright_y,bb_centre_x,bb_centre_y,class,subclass,confidence
20220905015145-00-100.jpg,1,1800,220,1970,336,1885,278,moth,Platynota flavedana,13
20220905024619-00-101.jpg,2,1297,209,1617,629,1457,419,moth,Tineola bisselliella,7
20220905002337-00-94.jpg,NA,2349,682,2455,776,2402,729,nonmoth,nonmoth,95
20220905032327-00-103.jpg,NA,3149,1068,3261,1165,3205,1116,nonmoth,nonmoth,95
20220905032327-00-103.jpg,3,1828,903,1912,1035,1870,969,moth,Platynota idaeusalis,20
20220905032325-00-103.jpg,NA,3150,1067,3261,1166,3205,1116,nonmoth,nonmoth,95
20220905032325-00-103.jpg,3,1829,904,1912,1037,1870,970,moth,Platynota idaeusalis,21
20220905003111-00-95.jpg,NA,2083,459,2203,631,2143,545,nonmoth,nonmoth,95
20220905032335-00-103.jpg,NA,3151,1067,3260,1164,3205,1115,nonmoth,nonmoth,95
20220905032335-00-103.jpg,4,1828,902,1915,1037,1871,969,moth,Platynota idaeusalis,24
20220905004403-00-96.jpg,NA,2109,658,2395,876,2252,767,nonmoth,nonmoth,94
20220905032339-00-103.jpg,NA,3145,1063,3263,1169,3204,1116,nonmoth,nonmoth,95
20220905032339-00-103.jpg,5,1825,895,1914,1038,1869,966,moth,Argyrotaenia quadrifasciana,8
20220905000041-00-91.jpg,NA,2098,14,2315,355,2206,184,nonmoth,nonmoth,95
20220905004343-00-96.jpg,NA,2006,1770,2358,2080,2182,1925,nonmoth,nonmoth,95
20220905000047-00-91.jpg,NA,2999,1,3106,148,3052,74,nonmoth,nonmoth,91
20220905000047-00-91.jpg,NA,2092,20,2303,354,2197,187,nonmoth,nonmoth,95
20220905000335-00-92.jpg,NA,2086,5,2254,295,2170,150,nonmoth,nonmoth,95
20220905004341-00-96.jpg,NA,1596,1799,1821,1904,1708,1851,nonmoth,nonmoth,94
20220905031945-00-102.jpg,NA,3012,1794,3172,1915,3092,1854,nonmoth,nonmoth,95
20220905031945-00-102.jpg,NA,3159,1073,3269,1172,3214,1122,nonmoth,nonmoth,95
20220905003109-00-95.jpg,NA,2394,1210,2520,1404,2457,1307,nonmoth,nonmoth,95
20220905024621-00-101.jpg,6,1496,473,1798,760,1647,616,moth,Cydia pomonella,10
20220905000043-00-91.jpg,NA,2335,1721,2446,1931,2390,1826,nonmoth,nonmoth,95
20220905000043-00-91.jpg,NA,2096,16,2303,355,2199,185,nonmoth,nonmoth,95
20220905031947-00-102.jpg,NA,2668,1965,2862,2144,2765,2054,nonmoth,nonmoth,95
20220905031947-00-102.jpg,NA,3160,1076,3270,1172,3215,1124,nonmoth,nonmoth,95
20220905004345-00-96.jpg,NA,2185,1974,2319,2156,2252,2065,nonmoth,nonmoth,95
20220905032321-00-103.jpg,NA,3150,1068,3261,1164,3205,1116,nonmoth,nonmoth,95
20220905000045-00-91.jpg,NA,2466,1051,2593,1193,2529,1122,nonmoth,nonmoth,95
20220905000045-00-91.jpg,NA,2096,10,2303,356,2199,183,nonmoth,nonmoth,94
20220905004359-00-96.jpg,NA,1323,578,1515,688,1419,633,nonmoth,nonmoth,94
20220905013813-00-99.jpg,7,0,101,969,2115,484,1108,moth,Plodia interpunctella,2
20220905032333-00-103.jpg,NA,3149,1067,3263,1163,3206,1115,nonmoth,nonmoth,95
20220905032333-00-103.jpg,8,1828,904,1912,1036,1870,970,moth,Platynota idaeusalis,46
20220905040307-00-104.jpg,NA,3148,1068,3261,1165,3204,1116,nonmoth,nonmoth,95
20220905040307-00-104.jpg,9,452,1334,561,1485,506,1409,moth,Agriphila vulgivagellus,45
20220905040311-00-104.jpg,NA,3151,1065,3260,1164,3205,1114,nonmoth,nonmoth,95
20220905004357-00-96.jpg,NA,1065,621,1222,961,1143,791,nonmoth,nonmoth,95
20220905000825-00-93.jpg,NA,1403,1013,1592,1134,1497,1073,nonmoth,nonmoth,95
20220905004353-00-96.jpg,NA,984,1261,1139,1564,1061,1412,nonmoth,nonmoth,94
20220905015143-00-100.jpg,10,1992,1,2140,63,2066,32,moth,Argyrotaenia quadrifasciana,30
20220905032323-00-103.jpg,NA,1729,897,1894,1027,1811,962,nonmoth,nonmoth,85
20220905032323-00-103.jpg,NA,3150,1067,3260,1162,3205,1114,nonmoth,nonmoth,95
20220905000823-00-93.jpg,NA,1568,1032,1731,1204,1649,1118,nonmoth,nonmoth,95
20220905004351-00-96.jpg,NA,1127,1552,1300,1793,1213,1672,nonmoth,nonmoth,94
20220905024623-00-101.jpg,NA,3346,933,3465,1012,3405,972,nonmoth,nonmoth,94
20220905024623-00-101.jpg,11,1914,856,2302,1210,2108,1033,moth,Dryocampa rubicunda,60
20220905031943-00-102.jpg,NA,3125,1698,3334,1968,3229,1833,nonmoth,nonmoth,95
20220905031943-00-102.jpg,NA,3162,1080,3268,1171,3215,1125,nonmoth,nonmoth,95
20220905000827-00-93.jpg,NA,1050,799,1287,982,1168,890,nonmoth,nonmoth,95
20220905002327-00-94.jpg,NA,1339,1884,1628,2024,1483,1954,nonmoth,nonmoth,95
20220905002335-00-94.jpg,NA,2651,1539,2850,1746,2750,1642,nonmoth,nonmoth,95
20220905002325-00-94.jpg,NA,986,1944,1163,2063,1074,2003,nonmoth,nonmoth,94
20220905010327-00-98.jpg,12,3664,398,4028,734,3846,566,moth,Spodoptera frugiperda,12
20220905013815-00-99.jpg,12,2936,2,3297,114,3116,58,moth,Acrolophus plumifrontella,1
20220905040443-00-105.jpg,NA,3152,1069,3256,1163,3204,1116,nonmoth,nonmoth,95
20220905040443-00-105.jpg,12,1390,1134,1590,1309,1490,1221,moth,Pyrausta signatalis,7
20220905002329-00-94.jpg,NA,1729,1616,1971,1802,1850,1709,nonmoth,nonmoth,95
20220905032329-00-103.jpg,NA,3152,1067,3260,1165,3206,1116,nonmoth,nonmoth,94
20220905032329-00-103.jpg,13,1828,904,1911,1035,1869,969,moth,Platynota idaeusalis,39
20220905004349-00-96.jpg,NA,1368,1925,1557,2084,1462,2004,nonmoth,nonmoth,94
20220905040527-00-106.jpg,NA,3153,1066,3261,1164,3207,1115,nonmoth,nonmoth,95
20220905004825-00-97.jpg,NA,1741,1651,1968,1936,1854,1793,nonmoth,nonmoth,94
20220905010325-00-98.jpg,14,3636,1374,4022,1685,3829,1529,moth,Acrolophus arcanella,74
20220905004827-00-97.jpg,NA,1905,1482,2152,1732,2028,1607,nonmoth,nonmoth,95
20220905004407-00-96.jpg,NA,1995,895,2204,1119,2099,1007,nonmoth,nonmoth,95
20220905004405-00-96.jpg,NA,2349,978,2484,1140,2416,1059,nonmoth,nonmoth,95
20220905004409-00-96.jpg,NA,1845,674,2109,947,1977,810,nonmoth,nonmoth,95
20220905040437-00-105.jpg,NA,3150,1068,3260,1163,3205,1115,nonmoth,nonmoth,95
20220905004829-00-97.jpg,NA,2066,1390,2303,1583,2184,1486,nonmoth,nonmoth,95
