filename,family,genus,species
2851313605.jpg,Bombycidae,Bombyx,Bombyx mori
2573938597.jpg,Bombycidae,Bombyx,Bombyx mori
1913690302.jpg,Bombycidae,Bombyx,Bombyx mori
2626335445.jpg,Bombycidae,Bombyx,Bombyx mori
3039290679.jpg,Bombycidae,Bombyx,Bombyx mori
3039312658.jpg,Bombycidae,Bombyx,Bombyx mori
2611124936.jpg,Bombycidae,Bombyx,Bombyx mori
1901068969.jpg,Bombycidae,Bombyx,Bombyx mori
2447964083.jpg,Bombycidae,Bombyx,Bombyx mori
1914342037.jpg,Bombycidae,Bombyx,Bombyx mori
1802647987.jpg,Bombycidae,Bombyx,Bombyx mori
1899785628.jpg,Bombycidae,Bombyx,Bombyx mori
2814138318.jpg,Bombycidae,Bombyx,Bombyx mori
2273282266.jpg,Bombycidae,Bombyx,Bombyx mori
3039216631.jpg,Bombycidae,Bombyx,Bombyx mori
1901068809.jpg,Bombycidae,Bombyx,Bombyx mori
1883508624.jpg,Bombycidae,Bombyx,Bombyx mori
2269279733.jpg,Bombycidae,Bombyx,Bombyx mori
2579324836.jpg,Bombycidae,Bombyx,Bombyx mori
2860115697.jpg,Bombycidae,Bombyx,Bombyx mori
2273281664.jpg,Bombycidae,Bombyx,Bombyx mori
1901075662.jpg,Bombycidae,Bombyx,Bombyx mori
2597956999.jpg,Bombycidae,Bombyx,Bombyx mori
2422927600.jpg,Bombycidae,Bombyx,Bombyx mori
2860172907.jpg,Bombycidae,Bombyx,Bombyx mori
2397643136.jpg,Bombycidae,Bombyx,Bombyx mori
1986501251.jpg,Bombycidae,Bombyx,Bombyx mori
2283161489.jpg,Bombycidae,Bombyx,Bombyx mori
2366154910.jpg,Bombycidae,Bombyx,Bombyx mori
2999135912.jpg,Bombycidae,Bombyx,Bombyx mori
2851140823.jpg,Bombycidae,Bombyx,Bombyx mori
1901075510.jpg,Bombycidae,Bombyx,Bombyx mori
2813879801.jpg,Bombycidae,Bombyx,Bombyx mori
2862312279.jpg,Bombycidae,Bombyx,Bombyx mori
1802635791.jpg,Bombycidae,Bombyx,Bombyx mori
3039348657.jpg,Bombycidae,Bombyx,Bombyx mori
2366134161.jpg,Bombycidae,Bombyx,Bombyx mori
1899785712.jpg,Bombycidae,Bombyx,Bombyx mori
2397690531.jpg,Bombycidae,Bombyx,Bombyx mori
2611041723.jpg,Bombycidae,Bombyx,Bombyx mori
1986501341.jpg,Bombycidae,Bombyx,Bombyx mori
1986501250.jpg,Bombycidae,Bombyx,Bombyx mori
1890726811.jpg,Bombycidae,Bombyx,Bombyx mori
2898488838.jpg,Bombycidae,Bombyx,Bombyx mori
2244278364.jpg,Bombycidae,Bombyx,Bombyx mori
2859970717.jpg,Bombycidae,Bombyx,Bombyx mori
2814479740.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818570892.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1455590235.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1099964950.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3070498005.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1913655915.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1899781798.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2331934695.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868211455.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868257397.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2823151246.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868145439.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2282993269.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2814082898.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818871622.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2802929347.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818803668.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2634017977.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1848756177.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283256347.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294507890.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1621799644.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1265555231.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2988599832.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283239318.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283192033.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2445017433.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1913661647.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2350404189.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2423251617.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818726281.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1848771667.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2826414951.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283046298.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2641313489.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283256866.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2634447691.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2429349225.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294514658.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294498773.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868159977.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2311328447.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018096454.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2826539276.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283167437.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2802984824.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1586125618.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283269474.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818515618.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283020296.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2823323933.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818708112.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1572380598.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1586113050.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2856692451.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283070116.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2005358511.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294489827.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2311304811.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2456531782.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018002461.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818812377.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2826234859.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1913655793.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868217433.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3058925718.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1806330103.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018055576.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3005214459.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868192438.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294585123.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818550118.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2823367616.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868106473.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2851325708.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868209424.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1571152113.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2862296580.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2465127074.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018014510.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018095488.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1668863542.jpg,Bombycidae,Olceclostera,Olceclostera angelica
