ILSVRC2012_ID,WNID,words,PyTorch_ID
1,n02119789,"kit fox, Vulpes macrotis",278.0
2,n02100735,English setter,212.0
3,n02110185,Siberian husky,250.0
4,n02096294,Australian terrier,193.0
5,n02102040,"English springer, English springer spaniel",217.0
6,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",147.0
7,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",387.0
8,n02124075,Egyptian cat,285.0
9,n02417914,"ibex, Capra ibex",350.0
10,n02123394,Persian cat,283.0
11,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",286.0
12,n02423022,gazelle,353.0
13,n02346627,"porcupine, hedgehog",334.0
14,n02077923,sea lion,150.0
15,n02110063,"malamute, malemute, Alaskan malamute",249.0
16,n02447366,badger,362.0
17,n02109047,Great Dane,246.0
18,n02089867,"Walker hound, Walker foxhound",166.0
19,n02102177,Welsh springer spaniel,218.0
20,n02091134,whippet,172.0
21,n02092002,"Scottish deerhound, deerhound",177.0
22,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",148.0
23,n02442845,mink,357.0
24,n02504458,"African elephant, Loxodonta africana",386.0
25,n02092339,Weimaraner,178.0
26,n02098105,soft-coated wheaten terrier,202.0
27,n02096437,"Dandie Dinmont, Dandie Dinmont terrier",194.0
28,n02114712,"red wolf, maned wolf, Canis rufus, Canis niger",271.0
29,n02105641,"Old English sheepdog, bobtail",229.0
30,n02128925,"jaguar, panther, Panthera onca, Felis onca",290.0
31,n02091635,"otterhound, otter hound",175.0
32,n02088466,"bloodhound, sleuthhound",163.0
33,n02096051,"Airedale, Airedale terrier",191.0
34,n02117135,"hyena, hyaena",276.0
35,n02138441,"meerkat, mierkat",299.0
36,n02097130,giant schnauzer,197.0
37,n02493509,"titi, titi monkey",380.0
38,n02457408,"three-toed sloth, ai, Bradypus tridactylus",364.0
39,n02389026,sorrel,339.0
40,n02443484,"black-footed ferret, ferret, Mustela nigripes",359.0
41,n02110341,"dalmatian, coach dog, carriage dog",251.0
42,n02089078,black-and-tan coonhound,165.0
43,n02086910,papillon,157.0
44,n02445715,"skunk, polecat, wood pussy",361.0
45,n02093256,"Staffordshire bullterrier, Staffordshire bull terrier",179.0
46,n02113978,Mexican hairless,268.0
47,n02106382,"Bouvier des Flandres, Bouviers des Flandres",233.0
48,n02441942,weasel,356.0
49,n02113712,miniature poodle,266.0
50,n02113186,"Cardigan, Cardigan Welsh corgi",264.0
51,n02105162,malinois,225.0
52,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",349.0
53,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",335.0
