PyTorch_ID,Name_ID,Accuracy
230,Shetland sheepdog,68.0
809,soup bowl,66.0
516,cradle,46.0
57,garter snake,88.0
415,bakery,38.0
674,mousetrap,82.0
332,Angora,98.0
109,brain coral,88.0
370,guenon,86.0
757,recreational vehicle,82.0
23,vulture,92.0
478,carton,50.0
173,Ibizan hound,72.0
948,Granny Smith,86.0
727,planetarium,90.0
846,table lamp,68.0
167,English foxhound,34.0
55,green snake,58.0
858,tile roof,82.0
324,cabbage butterfly,92.0
573,go-kart,94.0
981,ballplayer,78.0
586,half track,82.0
887,vestment,54.0
32,tailed frog,48.0
398,abacus,80.0
777,scabbard,70.0
74,garden spider,64.0
756,rain barrel,88.0
198,standard schnauzer,82.0
256,Newfoundland,84.0
725,pitcher,36.0
565,freight car,98.0
394,sturgeon,66.0
92,bee eater,98.0
844,switch,62.0
591,handkerchief,80.0
358,polecat,52.0
468,cab,74.0
259,Pomeranian,98.0
994,stinkhorn,82.0
872,tripod,62.0
588,hamper,68.0
474,cardigan,64.0
183,Kerry blue terrier,80.0
46,green lizard,62.0
842,swimming trunks,56.0
841,sweatshirt,38.0
467,butcher shop,76.0
21,kite,78.0
159,Rhodesian ridgeback,80.0
275,African hunting dog,98.0
175,otterhound,66.0
160,Afghan hound,90.0
788,shoe shop,90.0
58,water snake,64.0
479,car wheel,42.0
498,cinema,68.0
28,spotted salamander,88.0
487,cellular telephone,74.0
780,schooner,82.0
373,macaque,78.0
705,passenger car,48.0
330,wood rabbit,74.0
142,dowitcher,84.0
949,strawberry,68.0
878,typewriter keyboard,68.0
201,silky terrier,70.0
70,harvestman,84.0
486,cello,88.0
632,loudspeaker,54.0
608,jean,72.0
122,American lobster,74.0
720,pill bottle,74.0
227,kelpie,66.0
686,oil filter,68.0
959,carbonara,84.0
638,maillot,31.0
664,monitor,28.0
852,tennis ball,78.0
392,rock beauty,94.0
352,impala,80.0
22,bald eagle,92.0
934,hotdog,84.0
283,Persian cat,90.0
802,snowmobile,94.0
553,file,84.0
236,Doberman,76.0
528,dial telephone,88.0
328,sea urchin,84.0
969,eggnog,44.0
163,bloodhound,50.0
726,plane,86.0
875,trombone,76.0
265,toy poodle,62.0
590,hand-held computer,62.0
620,laptop,22.0
637,mailbox,74.0
39,common iguana,88.0
937,broccoli,92.0
272,coyote,70.0
277,red fox,56.0
763,revolver,88.0
213,Irish setter,82.0
493,chiffonier,32.0
647,measuring cup,60.0
504,coffee mug,46.0
687,organ,82.0
158,toy terrier,58.0
825,stone wall,80.0
212,English setter,74.0
257,Great Pyrenees,76.0
436,beach wagon,64.0
196,miniature schnauzer,68.0
140,red-backed sandpiper,78.0
248,Eskimo dog,48.0
339,sorrel,98.0
544,Dutch oven,70.0
935,mashed potato,64.0
867,trailer truck,82.0
103,platypus,74.0
584,hair slide,44.0
180,American Staffordshire terrier,62.0
118,Dungeness crab,86.0
396,lionfish,94.0
16,bulbul,82.0
548,entertainment center,92.0
993,gyromitra,96.0
233,Bouvier des Flandres,74.0
401,accordion,82.0
376,proboscis monkey,100.0
606,iron,84.0
284,Siamese cat,92.0
889,violin,72.0
984,rapeseed,98.0
77,wolf spider,74.0
610,jersey,78.0
254,pug,98.0
636,mailbag,56.0
662,modem,60.0
25,European fire salamander,96.0
215,Brittany spaniel,80.0
35,mud turtle,64.0
741,prayer rug,78.0
125,hermit crab,80.0
425,barn,94.0
1,goldfish,86.0
121,king crab,76.0
445,bikini,50.0
702,parallel bars,60.0
764,rifle,44.0
13,junco,94.0
179,Staffordshire bullterrier,66.0
522,croquet ball,84.0
989,hip,96.0
660,mobile home,64.0
533,dishrag,94.0
27,eft,72.0
644,matchstick,68.0
176,Saluki,82.0
694,paddlewheel,90.0
695,padlock,76.0
798,slide rule,68.0
925,consomme,60.0
413,assault rifle,44.0
250,Siberian husky,66.0
920,traffic light,86.0
761,remote control,78.0
676,muzzle,62.0
194,Dandie Dinmont,88.0
897,washer,76.0
612,jinrikisha,90.0
881,upright,78.0
426,barometer,78.0
554,fireboat,98.0
403,aircraft carrier,90.0
0,tench,92.0
866,tractor,84.0
888,viaduct,78.0
43,frilled lizard,78.0
64,green mamba,64.0
69,trilobite,98.0
329,sea cucumber,80.0
991,coral fungus,96.0
607,jack-o'-lantern,96.0
784,screwdriver,46.0
389,barracouta,82.0
420,banjo,88.0
24,great grey owl,98.0
102,echidna,98.0
508,computer keyboard,68.0
280,grey fox,70.0
359,black-footed ferret,62.0
165,black-and-tan coonhound,52.0
7,cock,74.0
938,cauliflower,90.0
733,pole,42.0
707,pay-phone,74.0
60,night snake,34.0
531,digital watch,46.0
982,groom,70.0
305,dung beetle,78.0
355,llama,82.0
503,cocktail shaker,60.0
495,china cabinet,84.0
816,spindle,94.0
195,Boston bull,92.0
481,cassette,60.0
431,bassinet,78.0
260,chow,82.0
622,lens cap,58.0
37,box turtle,92.0
133,bittern,86.0
675,moving van,54.0
465,bulletproof vest,58.0
592,hard disc,82.0
91,coucal,90.0
582,grocery store,56.0
546,electric guitar,74.0
208,Labrador retriever,86.0
488,chain,42.0
192,cairn,80.0
228,komondor,88.0
621,lawn mower,88.0
630,Loafer,86.0
185,Norfolk terrier,70.0
471,cannon,88.0
76,tarantula,96.0
267,standard poodle,78.0
419,Band Aid,72.0
33,loggerhead,82.0
998,ear,56.0
199,Scotch terrier,74.0
836,sunglass,16.0
97,drake,84.0
856,thresher,56.0
