accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
6097236,Lepidoptera,Hepialidae,Triodia,Triodia sylvina L.,Triodia sylvina,98,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
5879654,Lepidoptera,Hepialidae,Korscheltellus,Korscheltellus lupulina L.,Korscheltellus lupulina,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
5769272,Lepidoptera,Hepialidae,Pharmacis,Pharmacis fusconebulosa DeGeer,Pharmacis fusconebulosa,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
4525610,Lepidoptera,Hepialidae,Phymatopus,Phymatopus hecta L.,Phymatopus hecta,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1828637,Lepidoptera,Hepialidae,Hepialus,Hepialus humuli L.,Hepialus humuli,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
4526050,Lepidoptera,Psychidae,Narycia,Diplodoma laichartingella Goeze,Diplodoma laichartingella,98,DOUBTFUL,EXACT,SPECIES,denmark_Dec2022
4526048,Lepidoptera,Psychidae,Narycia,Narycia duplicella Goeze,Narycia duplicella,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1853749,Lepidoptera,Psychidae,Solenobia,Dahlica lichenella L.,Solenobia lichenella,99,SYNONYM,EXACT,SPECIES,denmark_Dec2022
4526086,Lepidoptera,Psychidae,Solenobia,Dahlica lazuri Cl.,Dahlica lazuri,98,DOUBTFUL,EXACT,SPECIES,denmark_Dec2022
9290273,Lepidoptera,Psychidae,Solenobia,Siederia listerella L.,Dahlica listerella,99,SYNONYM,EXACT,SPECIES,denmark_Dec2022
1854849,Lepidoptera,Psychidae,Taleporia,Taleporia tubulosa Retz.,Taleporia tubulosa,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1854237,Lepidoptera,Psychidae,Bankesia,Bankesia conspurcatella Zell.,Bankesia conspurcatella,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1853798,Lepidoptera,Psychidae,Bacotia,Bacotia claustrella Brd.,Bacotia sepium,99,SYNONYM,EXACT,SPECIES,denmark_Dec2022
1854795,Lepidoptera,Psychidae,Proutia,Proutia rotunda Suomalainen,Proutia rotunda,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1854202,Lepidoptera,Psychidae,Psyche,Psyche casta Pall.,Psyche casta,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
