accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1845962,Lepidoptera,Autostichidae,Oegoconia,Oegoconia quadripuncta,Oegoconia quadripuncta,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
10055273,Lepidoptera,Tineidae,Oinophila,Oinophila v-flava,Oinophila v-flava,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1742185,Lepidoptera,Tortricidae,Olethreutes,Olethreutes arcuella,Olethreutes arcuella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1741545,Lepidoptera,Tortricidae,Olindia,Olindia schumacherana,Olindia schumacherana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1875120,Lepidoptera,Pyralidae,Oncocera,Oncocera semirubella,Oncocera semirubella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1857143,Lepidoptera,Tineidae,Opogona,Opogona omoscopa,Opogona omoscopa,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1735532,Lepidoptera,Opostegidae,Opostega,Opostega salaciella,Opostega salaciella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4531242,Lepidoptera,Pyralidae,Ortholepis,Ortholepis betulae,Ortholepis betulae,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744136,Lepidoptera,Tortricidae,Orthotaenia,Orthotaenia undulana,Orthotaenia undulana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
8223165,Lepidoptera,Crambidae,Ostrinia,Ostrinia nubilalis,Ostrinia nubilalis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1858873,Lepidoptera,Pterophoridae,Oxyptilus,Oxyptilus pilosellae,Oxyptilus pilosellae,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
7869346,Lepidoptera,Noctuidae,Pachetra,Pachetra sagittigera,Pachetra sagittigera,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1833440,Lepidoptera,Stathmopodidae,Pachyrhabda,Pachyrhabda steropodes,Pachyrhabda steropodes,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1889833,Lepidoptera,Crambidae,Palpita,Palpita vitrealis,Palpita vitrealis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744859,Lepidoptera,Tortricidae,Pammene,Pammene agnotana,Pammene agnotana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744829,Lepidoptera,Tortricidae,Pammene,Pammene albuginana,Pammene albuginana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744808,Lepidoptera,Tortricidae,Pammene,Pammene argyrana,Pammene argyrana,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744896,Lepidoptera,Tortricidae,Pammene,Pammene aurana,Pammene aurana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744782,Lepidoptera,Tortricidae,Pammene,Pammene aurita,Pammene aurita,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744789,Lepidoptera,Tortricidae,Pammene,Pammene fasciana,Pammene fasciana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4530108,Lepidoptera,Tortricidae,Pammene,Pammene gallicana,Pammene gallicana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744822,Lepidoptera,Tortricidae,Pammene,Pammene germmana,Pammene germmana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744860,Lepidoptera,Tortricidae,Pammene,Pammene giganteana,Pammene giganteana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744789,Lepidoptera,Tortricidae,Pammene,Pammene herrichiana,Pammene fasciana,99,SYNONYM,EXACT,SPECIES,uksi_09May2022
1744869,Lepidoptera,Tortricidae,Pammene,Pammene ignorata,Pammene ignorata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4530099,Lepidoptera,Tortricidae,Pammene,Pammene luedersiana,Pammene luedersiana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744785,Lepidoptera,Tortricidae,Pammene,Pammene obscurana,Pammene obscurana,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744835,Lepidoptera,Tortricidae,Pammene,Pammene ochsenheimeriana,Pammene ochsenheimeriana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744810,Lepidoptera,Tortricidae,Pammene,Pammene regiana,Pammene regiana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744763,Lepidoptera,Tortricidae,Pammene,Pammene rhediella,Pammene rhediella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744772,Lepidoptera,Tortricidae,Pammene,Pammene spiniana,Pammene spiniana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744817,Lepidoptera,Tortricidae,Pammene,Pammene suspectana,Pammene suspectana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1842695,Lepidoptera,Cosmopterigidae,Pancalia,Pancalia leuwenhoekella,Pancalia leuwenhoekella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4529688,Lepidoptera,Cosmopterigidae,Pancalia,Pancalia schwarzella,Pancalia schwarzella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1743828,Lepidoptera,Tortricidae,Pandemis,Pandemis cerasana,Pandemis cerasana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1743856,Lepidoptera,Tortricidae,Pandemis,Pandemis cinnamomeana,Pandemis cinnamomeana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1743862,Lepidoptera,Tortricidae,Pandemis,Pandemis corylana,Pandemis corylana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1743898,Lepidoptera,Tortricidae,Pandemis,Pandemis heparana,Pandemis heparana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4532453,Lepidoptera,Erebidae,Pandesma,Pandesma robusta,Pandesma robusta,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1888579,Lepidoptera,Crambidae,Paracorsia,Paracorsia repandalis,Paracorsia repandalis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
