accepted_taxon_key,order,family,genus,search_species,gbif_species,confidence,status,match_type,rank,source
1874705,Lepidoptera,Pyralidae,Ancylosis,Ancylosis benderella,Ancylosis roscidella,99,SYNONYM,EXACT,SPECIES,panama-bci
1874656,Lepidoptera,Pyralidae,Ancylosis,Ancylosis rhythmatica,Ancylosis rhythmatica,99,ACCEPTED,EXACT,SPECIES,panama-bci
1992746,Lepidoptera,Thyrididae,Zeuzerodes,Zeuzerodes caenosa,Zeuzerodes castanea,99,SYNONYM,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Zeuzerodes umbrata,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
1992748,Lepidoptera,Thyrididae,Zeuzerodes,Zeuzerodes fasciata,Zeuzerodes fasciata,99,ACCEPTED,EXACT,SPECIES,panama-bci
5120040,Lepidoptera,Depressariidae,Zetesima,Zetesima portentosa,Zetesima portentosa,99,ACCEPTED,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Zellerina pterophoralis,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
1941896,Lepidoptera,Castniidae,Zegara,Zegara zagraea,Zegara zagraea,99,ACCEPTED,EXACT,SPECIES,panama-bci
1952948,Lepidoptera,Mimallonidae,Zaphanta,Zaphanta fraterna,Zaphanta infantilis,99,SYNONYM,EXACT,SPECIES,panama-bci
1952948,Lepidoptera,Mimallonidae,Zaphanta,Zaphanta infantilis,Zaphanta infantilis,99,ACCEPTED,EXACT,SPECIES,panama-bci
5125141,Lepidoptera,Apatelodidae,Zanola,Zanola verago,Zanola verago,99,ACCEPTED,EXACT,SPECIES,panama-bci
1978360,Lepidoptera,Geometridae,Zanclopteryx,Zanclopteryx subsimilis,Zanclopteryx subsimilis,99,ACCEPTED,EXACT,SPECIES,panama-bci
1978357,Lepidoptera,Geometridae,Zanclopteryx,Zanclopteryx uniferata,Zanclopteryx uniferata,99,ACCEPTED,EXACT,SPECIES,panama-bci
