sort,Superfam_#,subfam_#,Superfamily,Family,Subfamily,Current_valid_binomen,Author_yr,BCI_BIN,Source_Basset,Source_BOLD,Source_iNat,Source_CanalZone,Source_Literature,Timeframe_Jan2023,Timeframe_Nov2023,Timeframe_Historic
2,11,11,HEPIALOIDEA,Hepialidae,,Druceiella metellus,"(Druce, 1890)",n.a.,,,,,Forbes,,,1
4,11,11,HEPIALOIDEA,Hepialidae,,Hampsoniella assa,"(Druce, 1887)",n.a.,,,,,Forbes,,,1
6,30,30,TINEOIDEA,Tineidae,Acrolophinae,Acrolophus bactra,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
7,30,30,TINEOIDEA,Tineidae,Acrolophinae,Acrolophus bifurcata,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
8,30,30,TINEOIDEA,Tineidae,Acrolophinae,Acrolophus panamae,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
10,30,30,TINEOIDEA,Psychidae,Arrhenophaninae,Arrhenophanes chiquita,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
11,30,30,TINEOIDEA,Psychidae,Arrhenophaninae,Arrhenophanes perspicilla,"(Stoll, [1790])",unassigned,,1,1,Busck (1914),,1,1,1
15,30,30,TINEOIDEA,Psychidae,Oiketicinae,Cryptothelea symmicta,"(Dyar, 1914)",n.a.,,,,,Forbes,,,1
16,30,30,TINEOIDEA,Psychidae,Oiketicinae,Naevipenna aphaidropa,"(Dyar, 1914)",BOLD:ADO3373,,1,,,Forbes,,,1
17,30,30,TINEOIDEA,Psychidae,Oiketicinae,Oiketicus geyeri,"Berg, 1877",n.a.,,,,,Forbes,,,1
18,30,30,TINEOIDEA,Psychidae,Oiketicinae,Oiketicus kirbyi,"Guilding, 1827",n.a.,,,,,Forbes,,,1
19,30,30,TINEOIDEA,Tineidae,,Amydria umbraticella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
20,30,30,TINEOIDEA,Tineidae,,Harmaclona cossidella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
21,30,30,TINEOIDEA,Tineidae,,Parathyris perspicilla,Stoll,n.a.,,,,Busck (1912),,,,1
22,30,30,TINEOIDEA,Tineidae,,Scardia isthmiella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
23,30,30,TINEOIDEA,Tineidae,,Scardia minimella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
34,36,36,YPONOMEUTOIDEA,Attevidae,,Atteva pustulella,"(Fabricius, 1794)",BOLD:AAA9259,,1,,,,,1,
35,36,36,YPONOMEUTOIDEA,Attevidae,,Atteva zebra,"Duckworth, 1967",,,,,,Duckworth 1967,,,1
40,45,45,URODOIDEA,Urodidae,,Urodus parvula,,,,,1,,,,1,
42,47,47,Choreutoidea,Choreutidae,Choreutinae,Ornarantia tristis,,,,,1,,,,1,
43,47,47,CHOREUTOIDEA,Choreutidae,,Glyphipteryx plenella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
44,47,47,CHOREUTOIDEA,Choreutidae,,Hemerophila laciniosella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
45,47,47,CHOREUTOIDEA,Choreutidae,,Hemerophila meratella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
46,47,47,CHOREUTOIDEA,Choreutidae,,Jonaca olivacea,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
47,47,47,CHOREUTOIDEA,Choreutidae,,Machlotica atractias,Meyrick,n.a.,,,,Busck (1914),,,,1
48,47,47,CHOREUTOIDEA,Choreutidae,,Ordrupia fanniella,"Busck, 1914",n.a.,,,,Busck (1912),,,,1
49,47,47,CHOREUTOIDEA,Choreutidae,,Porpe lamella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
50,47,47,CHOREUTOIDEA,Choreutidae,,Rhobonda gaurisana,"Walker, 1863",n.a.,,,1,,,1,1,
51,47,47,CHOREUTOIDEA,Choreutidae,,Tortyra cuprinella,"Busck, 1914",unassigned,,1,,Busck (1914),,,,1
52,47,47,CHOREUTOIDEA,Choreutidae,,Tortyra ferratella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
53,47,47,CHOREUTOIDEA,Choreutidae,,Ussara eumitrella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
54,47,47,CHOREUTOIDEA,Choreutidae,,Ussara eurythmiella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
57,51,51,TORTRICOIDEA,Tortricidae,Chlidanotinae,Auratonota hydrogramma,"(Meyrick, 1912)",BOLD:AAA4038,,1,,,,,,
58,51,51,TORTRICOIDEA,Tortricidae,Chlidanotinae,Hilarographa plectanodes,"Meyrick, 1921",n.a.,,,1,,,1,,
59,51,51,TORTRICOIDEA,Tortricidae,Chlidanotinae,Histura panamana,"Brown, 2019",BOLD:ABV2176,,1,,,Brown et al 2020,,1,
60,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Eriosocia guttifera,"(Meyrick, 1913)",BOLD:ABV2165,,1,,,Brown et al 2020,,,
64,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Grapholita mabeaa,"Razowski, 2011",,,1,,,,,,
67,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Ricula lacistema,"Brown, 2019",,,,,,Brown et al 2020,,,
70,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Riculorampha ancyloides,"Rota & Brown, 2009",,,,,,Brown et al 2020,,,
72,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Ricula croceus,"Brown, 2019",BOLD:ABV2186,,1,,,Brown et al 2020,,,
