speciesKey,species,genus,family
1893517,Ceratinia neso,Ceratinia,Nymphalidae
1929129,Callicista columella,Callicista,Lycaenidae
1923505,Atlides halesus,Atlides,Lycaenidae
4535396,Muschampia proto,Syrichtus,Hesperiidae
1895196,Greta gardneri,Greta,Nymphalidae
1895195,Greta diaphanus,Greta,Nymphalidae
1927210,Arhopala thamyras,Arhopala,Lycaenidae
1925922,Celastrina ladon,Celastrina,Lycaenidae
4709135,Candalides absimilis,Candalides,Lycaenidae
1925918,Celastrina argiolus,Celastrina,Lycaenidae
1922865,Calycopis isobeon,Calycopis,Lycaenidae
5806391,Jalmenus ictinus,Jalmenus,Lycaenidae
5138741,Jalmenus daemeli,Jalmenus,Lycaenidae
1932302,Hypolycaena philippus,Hypolycaena,Lycaenidae
1919348,Catopsilia pyranthe,Catopsilia,Pieridae
1927308,Actizera stellata,Actizera,Lycaenidae
1898988,Symbrenthia hypselis,Symbrenthia,Nymphalidae
1931788,Fixsenia esculi,Fixsenia,Lycaenidae
1924106,Glaucopsyche lygdamus,Glaucopsyche,Lycaenidae
1924713,Lampides boeticus,Lampides,Lycaenidae
1928009,Rekoa meton,Rekoa,Lycaenidae
1926824,Lycaeides argyrognomon,Lycaeides,Lycaenidae
1922676,Habrodais grunus,Habrodais,Lycaenidae
5137882,Pieris oleracea,Pieris,Pieridae
1920590,Mesapia peloria,Mesapia,Pieridae
8751215,Eulepidotis poirieri,Eulepidotis,Erebidae
8907414,Lophocampa sullivani,Lophocampa,Erebidae
8948563,Pero haxairei,Pero,Geometridae
1983535,Eupithecia distinctaria,Eupithecia,Geometridae
5148655,Pero fortunata,Pero,Geometridae
1947535,Phocides distans,Phocides,Hesperiidae
1949636,Corticea mendica,Corticea,Hesperiidae
5142254,Hesperia nevada,Hesperia,Hesperiidae
7633472,Hesperia comma,Hesperia,Hesperiidae
5128034,Dryas iulia,Dryas,Nymphalidae
1837900,Mathildana newmanella,Mathildana,Oecophoridae
5123999,Eumorpha pandorus,Eumorpha,Sphingidae
1811079,Hypercompe scribonia,Hypercompe,Erebidae
1950578,Nastra julia,Nastra,Hesperiidae
1894840,Aglais urticae,Aglais,Nymphalidae
1792430,Autographa californica,Autographa,Noctuidae
5714299,Danaus gilippus,Danaus,Nymphalidae
1902110,Ortilia dicoma,Ortilia,Nymphalidae
1909019,Diaethria clymena,Diaethria,Nymphalidae
1909211,Dynamine agacles,Dynamine,Nymphalidae
1897664,Parantica sita,Parantica,Nymphalidae
1907625,Ypthima argus,Ypthima,Nymphalidae
7472845,Alucita montana,Alucita,Alucitidae
1989428,Chloroclystis v-ata,Chloroclystis,Geometridae
1878879,Agriphila straminella,Agriphila,Crambidae
5139029,Satyrium calanus,Satyrium,Lycaenidae
4525364,Cedestis gysseleniella,Cedestis,Yponomeutidae
5148520,Eutrapela clemataria,Eutrapela,Geometridae
1766128,Amphipyra berbera,Amphipyra,Noctuidae
1796678,Hydraecia micacea,Hydraecia,Noctuidae
5105088,Caloptilia populetorum,Caloptilia,Gracillariidae
1770772,Agrotis puta,Agrotis,Noctuidae
1871890,Oneida lunulalis,Oneida,Pyralidae
1781944,Palthis angulalis,Palthis,Erebidae
5135191,Erebia aethiops,Erebia,Nymphalidae
1761102,Callistege intercalaris,Callistege,Erebidae
1785168,Chrysodeixis includens,Chrysodeixis,Noctuidae
8763986,Eresia aveyrona,Eresia,Nymphalidae
1791793,Cosmodes elegans,Cosmodes,Noctuidae
5132084,Limenitis arthemis,Limenitis,Nymphalidae
1938016,Papilio glaucus,Papilio,Papilionidae
1898431,Asterocampa clyton,Asterocampa,Nymphalidae
1991429,Haematopis grataria,Haematopis,Geometridae
1937739,Papilio canadensis,Papilio,Papilionidae
1932414,Callophrys viridis,Callophrys,Lycaenidae
11670842,Burnsius communis,Burnsius,Hesperiidae
1730543,Xyleutes persona,Xyleutes,Cossidae
1803218,Utetheisa ornatrix,Utetheisa,Erebidae
9526331,Cisthene deserta,Cisthene,Erebidae
1992504,Alucita hexadactyla,Alucita,Alucitidae
1978493,Trichodezia albovittata,Trichodezia,Geometridae
1825971,Pheosia gnoma,Pheosia,Notodontidae
1911246,Coenonympha california,Coenonympha,Nymphalidae
9391467,Orgyia vetusta,Orgyia,Erebidae
5132246,Limenitis lorquini,Limenitis,Nymphalidae
5130682,Nymphalis antiopa,Nymphalis,Nymphalidae
8237987,Spilosoma lubricipeda,Spilosoma,Erebidae
1864358,Deilephila porcellus,Deilephila,Sphingidae
1862580,Smerinthus ocellata,Smerinthus,Sphingidae
1983288,Eupithecia intricata,Eupithecia,Geometridae
1859061,Stangeia xerodes,Stangeia,Pterophoridae
5126517,Desmia funeralis,Desmia,Crambidae
1937816,Papilio polyxenes,Papilio,Papilionidae
1807881,Pyrrharctia isabella,Pyrrharctia,Erebidae
1865853,Hyalophora euryalus,Hyalophora,Saturniidae
1736411,Strophedra weirana,Strophedra,Tortricidae
1943953,Polites coras,Polites,Hesperiidae
1920900,Elkalyce comyntas,Elkalyce,Lycaenidae
5112923,Zale horrida,Zale,Erebidae
1900233,Heliconius charithonia,Heliconius,Nymphalidae
1859046,Emmelina monodactyla,Emmelina,Pterophoridae
1924494,Loweia tityrus,Loweia,Lycaenidae
1937819,Papilio xuthus,Papilio,Papilionidae
5124716,Attacus atlas,Attacus,Saturniidae
1866570,Antheraea polyphemus,Antheraea,Saturniidae
4532022,Evergestis forficalis,Evergestis,Crambidae
1982885,Eupithecia succenturiata,Eupithecia,Geometridae
10100176,Apatelodes torrefacta,Hygrochroa,Apatelodidae
11701883,Dione vanillae,Dione,Nymphalidae
1817797,Hyphantria cunea,Hyphantria,Erebidae
5146412,Plemyria rubiginata,Plemyria,Geometridae
1759083,Lacanobia oleracea,Lacanobia,Noctuidae
1765767,Melanchra persicariae,Melanchra,Noctuidae
1801051,Bena bicolorana,Bena,Nolidae
5714973,Xestia c-nigrum,Xestia,Noctuidae
1751575,Megalopyge crispata,Megalopyge,Megalopygidae
1895138,Euphydryas phaeton,Euphydryas,Nymphalidae
5124136,Sphinx perelegans,Sphinx,Sphingidae
1861892,Ceratomia catalpae,Ceratomia,Sphingidae
1866341,Callosamia promethea,Callosamia,Saturniidae
5147898,Euchlaena serrata,Euchlaena,Geometridae
1920621,Abaeis nicippe,Abaeis,Pieridae
1871407,Hypsopygia costalis,Hypsopygia,Pyralidae
5714755,Satyrium behrii,Satyrium,Lycaenidae
1938446,Parnassius clodius,Parnassius,Papilionidae
1873079,Plodia interpunctella,Plodia,Pyralidae
1888338,Chalcoela iphitalis,Chalcoela,Crambidae
1891494,Evergestis limbata,Evergestis,Crambidae
1877941,Aglossa pinguinalis,Aglossa,Pyralidae
1769566,Cosmia trapezina,Cosmia,Noctuidae
1830191,Argyresthia pruniella,Argyresthia,Argyresthiidae
12087490,Eichlinia cucurbitae,Eichlinia,Sesiidae
1754270,Malthaca dimidiata,Malthaca,Zygaenidae
9627917,Idia lubricalis,Idia,Erebidae
1775980,Euparthenos nubilis,Euparthenos,Erebidae
1865862,Dryocampa rubicunda,Dryocampa,Saturniidae
5141342,Battus philenor,Battus,Papilionidae
5132079,Limenitis bredowii,Limenitis,Nymphalidae
5133088,Danaus plexippus,Danaus,Nymphalidae
7431428,Pyrausta subsequalis,Pyrausta,Crambidae
1963848,Prochoerodes lineola,Prochoerodes,Geometridae
12258652,Junonia grisea,Junonia,Nymphalidae
1909800,Neominois ridingsii,Neominois,Nymphalidae
1898286,Vanessa atalanta,Vanessa,Nymphalidae
1978197,Eusarca confusaria,Eusarca,Geometridae
1924050,Glaucopsyche piasus,Glaucopsyche,Lycaenidae
1796145,Apamea monoglypha,Apamea,Noctuidae
1811948,Spilosoma virginica,Spilosoma,Erebidae
1975897,Biston betularia,Biston,Geometridae
9776414,Acharia stimulea,Acharia,Limacodidae
1872901,Pyralis farinalis,Pyralis,Pyralidae
5925317,Orgyia leucostigma,Orgyia,Erebidae
1886374,Hymenia perspectalis,Hymenia,Crambidae
9403481,Digrammia continuata,Digrammia,Geometridae
1918988,Phyciodes tharos,Phyciodes,Nymphalidae
1788139,Leuconycta diphteroides,Leuconycta,Noctuidae
1770461,Ochropleura implecta,Ochropleura,Noctuidae
1781946,Palthis asopialis,Palthis,Erebidae
5133009,Euptychia cymela,Euptychia,Nymphalidae
4299370,Vanessa virginiensis,Vanessa,Nymphalidae
1937846,Papilio cresphontes,Papilio,Papilionidae
1938104,Papilio troilus,Papilio,Papilionidae
1859161,Platyptilia carduidactylus,Platyptilia,Pterophoridae
1920506,Pieris brassicae,Pieris,Pieridae
1946500,Thorybes pylades,Thorybes,Hesperiidae
5130514,Junonia coenia,Junonia,Nymphalidae
