accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
9347147,Lepidoptera,Apatelodidae,Colabata,Ephoria lybia,Ephoria lybia,98,DOUBTFUL,EXACT,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Prothysana felderi,NotAvail,100,NotAvail,NONE,NotAvail,panama_11Jan2023
5125139,Lepidoptera,Apatelodidae,Zanola,Zanola fieldi,Zanola fieldi,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1830682,Lepidoptera,Attevidae,Atteva,Atteva zebra,Atteva zebra,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1868228,Lepidoptera,Bombycidae,Quentalia,Quentalia amisena,Quentalia amisena,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Rhobonda Janzen07,NotAvail,99,NotAvail,NONE,NotAvail,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Neocordulia,NotAvail,99,NotAvail,NONE,NotAvail,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Neocordulia batesi longipollex,NotAvail,99,NotAvail,NONE,NotAvail,panama_11Jan2023
1884479,Lepidoptera,Crambidae,Parapoynx,Parapoynx diminutalis,Parapoynx diminutalis,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1880537,Lepidoptera,Crambidae,Phostria,Phostria dohrnii,Phostria dohrni,97,ACCEPTED,FUZZY,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Phostria Solis237,NotAvail,99,NotAvail,NONE,NotAvail,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Prenesta scyllalis,NotAvail,100,NotAvail,NONE,NotAvail,panama_11Jan2023
1887963,Lepidoptera,Crambidae,Syllepte,Syllepte amando,Syllepte amando,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1885956,Lepidoptera,Crambidae,Syngamia,Syngamia ampliatalis,Syngamia ampliatalis,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1836069,Lepidoptera,Elachistidae,Cerconota,Cerconota recurvella,Cerconota recurvella,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1837207,Lepidoptera,Elachistidae,Menesta,Menesta tortriciformella,Menesta tortriciformella,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1845536,Lepidoptera,Elachistidae,Ethmia,Ethmia duckworthi,Ethmia duckworthi,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1814182,Lepidoptera,Erebidae,Ammalo,Ammalo helops,Ammalo helops,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1784884,Lepidoptera,Erebidae,Antapistis,Antapistis leucospila,Antapistis leucospila,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1803261,Lepidoptera,Erebidae,Antichloris,Antichloris viridis,Antichloris viridis,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1816570,Lepidoptera,Erebidae,Apistosia,Apistosia judas,Apistosia judas,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
9244283,Lepidoptera,Erebidae,Calonotos,Calonotos metallicus,Calonotos metallicus,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1785777,Lepidoptera,Erebidae,Acolasis,Coenipeta bibitrix,Acolasis bibitrix,99,SYNONYM,EXACT,SPECIES,panama_11Jan2023
1809066,Lepidoptera,Erebidae,Cratoplastis,Cratoplastis diluta,Cratoplastis diluta,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
8384839,Lepidoptera,Erebidae,Dialithis,Dialithis gemmifera,Dialithis gemmifera,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1761813,Lepidoptera,Erebidae,Dyops,Dyops chromatophila,Dyops chromatophila,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5117466,Lepidoptera,Erebidae,Dysschema,Dysschema perplexum,Dysschema perplexa,97,ACCEPTED,FUZZY,SPECIES,panama_11Jan2023
6117485,Lepidoptera,Erebidae,Eudocima,Eudocima apta,Eudocima apta,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
7611914,Lepidoptera,Erebidae,Eudocima,Eudocima procus,Eudocima procus,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1763178,Lepidoptera,Erebidae,Eulepidotis,Eulepidotis dominicata,Eulepidotis dominicata,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1763175,Lepidoptera,Erebidae,Eulepidotis,Eulepidotis superior,Eulepidotis superior,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1770038,Lepidoptera,Erebidae,Gonodonta,Gonodonta sinaldus,Gonodonta sinaldus,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1805655,Lepidoptera,Erebidae,Gymnelia,Gymnelia beata,Gymnelia beata,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1805672,Lepidoptera,Erebidae,Gymnelia,Gymnelia salvini,Gymnelia salvini,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1804196,Lepidoptera,Erebidae,Hyalurga,Hyalurga sora,Hyalurga sora,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1804194,Lepidoptera,Erebidae,Hyalurga,Hyalurga urioides,Hyalurga urioides,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Hypercompe leucarctoides,NotAvail,100,NotAvail,NONE,NotAvail,panama_11Jan2023
1790943,Lepidoptera,Erebidae,Isogona,Isogona natatrix,Isogona natatrix,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1788382,Lepidoptera,Erebidae,Letis,Letis alauda,Letis alauda,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1814250,Lepidoptera,Erebidae,Poliopastea,Poliopastea auripes,Poliopastea auripes,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Radara anartoides,NotAvail,100,NotAvail,NONE,NotAvail,panama_11Jan2023
11871250,Lepidoptera,Erebidae,Radara,Radara zoum,Radara lilaceata,99,SYNONYM,EXACT,SPECIES,panama_11Jan2023
1851872,Lepidoptera,Gelechiidae,Commatica,Commatica cryptina,Commatica cryptina,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1851874,Lepidoptera,Gelechiidae,Commatica,Commatica falcatella,Commatica falcatella,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
9336379,Lepidoptera,Geometridae,Cyclophora,Cyclophora melitia,Cyclophora melitia,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1976073,Lepidoptera,Geometridae,Erastria,Erastria decrepitaria,Erastria decrepitaria,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
8819888,Lepidoptera,Geometridae,Euclysia,Euclysia dentifasciata,Euclysia dentifasciata,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Glena,NotAvail,99,NotAvail,NONE,NotAvail,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Glena Janzen05,NotAvail,99,NotAvail,NONE,NotAvail,panama_11Jan2023
1976396,Lepidoptera,Geometridae,Herbita,Herbita lilacina,Herbita lilacina,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5148540,Lepidoptera,Geometridae,Iridopsis,Iridopsis oberthuri,Iridopsis oberthuri,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5148593,Lepidoptera,Geometridae,Iridopsis,Iridopsis validaria,Iridopsis validaria,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1991016,Lepidoptera,Geometridae,Nematocampa,Nematocampa completa,Nematocampa completa,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1976702,Lepidoptera,Geometridae,Oxydia,Oxydia apidania,Oxydia apidania,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
11744427,Lepidoptera,Geometridae,Paragonia,Paragonia tasima,Paragonia tasima,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
10088253,Lepidoptera,Geometridae,Perigramma,Perigramma vicina,Perigramma vicina,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1976207,Lepidoptera,Geometridae,Pseudomennis,Pseudomennis bipennis,Pseudomennis bipennis,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1990998,Lepidoptera,Geometridae,Thyrinteina,Thyrinteina arnobia,Thyrinteina arnobia,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1958350,Lepidoptera,Geometridae,Thysanopyga,Thysanopyga amarantha,Thysanopyga amarantha,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1963257,Lepidoptera,Geometridae,Tricentrogyna,Tricentrogyna priscilla,Tricentrogyna priscilla,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1425762,Odonata,Gomphidae,Aphylla,Aphylla tenuis,Aphylla tenuis,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1425443,Odonata,Gomphidae,Epigomphus,Epigomphus quadracies,Epigomphus quadracies,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1426133,Odonata,Gomphidae,Phyllocycla,Phyllocycla volsella,Phyllocycla volsella,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5150020,Lepidoptera,Hedylidae,Macrosoma,Macrosoma muscerdata,Macrosoma muscerdata,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5053851,Trichoptera,Hydropsychidae,Leptonema,Leptonema hamuli,Leptonema hamuli,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5101832,Lepidoptera,Lasiocampidae,Euglyphis,Euglyphis deusta,Euglyphis deusta,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5101981,Lepidoptera,Lasiocampidae,Euglyphis,Euglyphis rivulosa,Euglyphis rivulosa,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5105374,Lepidoptera,Limacodidae,Euclea,Euclea cuspostriga,Euclea cuspostriga,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
