,Species Key,Taxon Key,GBIF Species Name,Source
0,1939759,1939759,Epimartyria auricrinella,Quebec_Pohl2018
1,1731862,1731862,Dyseriocrania griseocapitella,Quebec_Pohl2018
2,1731826,1731826,Eriocrania semipurpurella,Quebec_Pohl2018
3,1731824,1731824,Eriocrania breviapex,Quebec_Pohl2018
4,1731847,1731847,Eriocraniella platyptera,Quebec_Pohl2018
5,10421050,10421050,Gazoryctra hyperboreus,Quebec_Pohl2018
6,1828767,10176413,Hepialus novigannus,Quebec_Pohl2018
7,10067382,10067382,Korscheltellus gracilis,Quebec_Pohl2018
8,NA,NA,NA,Quebec_Pohl2018
9,1829029,1829029,Sthenopis argenteomaculatus,Quebec_Pohl2018
10,1829021,1829021,Sthenopis purpurascens,Quebec_Pohl2018
11,1829028,1829028,Sthenopis thule,Quebec_Pohl2018
12,NA,NA,NA,Quebec_Pohl2018
13,NA,NA,NA,Quebec_Pohl2018
14,9486283,9486283,Stigmella intermedia,Quebec_Pohl2018
15,9291549,9291549,Stigmella prunifoliella,Quebec_Pohl2018
16,9448853,9448853,Stigmella rhoifoliella,Quebec_Pohl2018
17,9551569,9551569,Stigmella macrocarpae,Quebec_Pohl2018
18,9566677,9566677,Stigmella nigriverticella,Quebec_Pohl2018
19,8443221,8443221,Stigmella saginella,Quebec_Pohl2018
20,5102515,5102515,Stigmella betulicola,Quebec_Pohl2018
21,5769761,5769761,Stigmella microtheriella,Quebec_Pohl2018
22,9422775,9422775,Stigmella caryaefoliella,Quebec_Pohl2018
23,9449246,9449246,Stigmella corylifoliella,Quebec_Pohl2018
24,5715269,5715269,Stigmella juglandifoliella,Quebec_Pohl2018
25,9464669,10251033,Stigmella myricafoliella,Quebec_Pohl2018
26,9233678,10201200,Stigmella ostryaefoliella,Quebec_Pohl2018
27,9395514,9395514,Stigmella tiliella,Quebec_Pohl2018
28,9626406,9626406,Stigmella rhamnicola,Quebec_Pohl2018
29,9407109,9407109,Stigmella rosaefoliella,Quebec_Pohl2018
30,5769734,5769734,Stigmella lapponica,Quebec_Pohl2018
31,9609575,9609575,Stigmella slingerlandella,Quebec_Pohl2018
32,5102461,5102461,Stigmella aromella,Quebec_Pohl2018
33,9626971,9626971,Stigmella fuscotibiella,Quebec_Pohl2018
34,9247121,9247121,Stigmella populetorum,Quebec_Pohl2018
35,8633704,8633704,Stigmella quercipulchella,Quebec_Pohl2018
36,5102459,5102459,Stigmella centifoliella,Quebec_Pohl2018
