taxon_key_gbif_id,superfamily_name,family_name,subfamily_name,genus_name,name,search_species_name,gbif_species_name,confidence,status,match type,source,iNaturalist count
1939759,Micropterigoidea,Micropterigidae,[Micropteriginae],Epimartyria,auricrinella,Epimartyria auricrinella,Epimartyria auricrinella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,12
1731862,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Dyseriocrania,griseocapitella,Dyseriocrania griseocapitella,Dyseriocrania griseocapitella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,44
1731826,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Eriocrania,semipurpurella,Eriocrania semipurpurella,Eriocrania semipurpurella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,25
1731824,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Eriocrania,breviapex,Eriocrania breviapex,Eriocrania breviapex,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1731847,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Eriocraniella,platyptera,Eriocraniella platyptera,Eriocraniella platyptera,99,ACCEPTED,EXACT,Quebec_Pohl2018,5
10421050,Hepialoidea,Hepialidae,[Hepialinae],Gazoryctra,hyperboreus,Gazoryctra hyperboreus,Gazoryctra hyperboreus,99,ACCEPTED,EXACT,Quebec_Pohl2018,5
10176413,Hepialoidea,Hepialidae,[Hepialinae],Gazoryctra,novigannus,Gazoryctra novigannus,Hepialus novigannus,99,SYNONYM,EXACT,Quebec_Pohl2018,17
10067382,Hepialoidea,Hepialidae,[Hepialinae],Korscheltellus,gracilis,Korscheltellus gracilis,Korscheltellus gracilis,97,DOUBTFUL,EXACT,Quebec_Pohl2018 Vermont_29March2021,90
5879654,Hepialoidea,Hepialidae,[Hepialinae],Korscheltellus,lupulina,Korscheltellus lupulina,Korscheltellus lupulinus,95,DOUBTFUL,FUZZY,Quebec_Pohl2018,546
1829029,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,argenteomaculatus,Sthenopis argenteomaculatus,Sthenopis argenteomaculatus,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,71
